,DKS_init,det
0,(0.37206158583426713+0.1119138776201696j),-2555006428.571428
1,(0.5692583203446117+0.03693041543235093j),-2555006428.571428
2,(0.7259021330335659-0.03990855563467501j),-2555006428.571428
3,(0.5630083333298663-0.08423754159279936j),-2555006428.571428
4,(0.3535492969136973-0.12005707453987133j),-2555006428.571428
5,(0.4175156782663365-0.029679571202569175j),-2555006428.571428
6,(0.5810521529990524+0.13917896754730244j),-2555006428.571428
7,(0.6087093088592449+0.09332323747281757j),-2555006428.571428
8,(0.5723335513222291-0.15185337431884358j),-2555006428.571428
9,(0.5260195676248367-0.198454584413554j),-2555006428.571428
10,(0.42088452940775567+0.020570885423479766j),-2555006428.571428
11,(0.3971861771719011+0.13448846882540297j),-2555006428.571428
12,(0.5843261819659551+0.027128334755300212j),-2555006428.571428
13,(0.7193082794773734-0.07278166981431466j),-2555006428.571428
14,(0.5471489017959237-0.09198645003547423j),-2555006428.571428
15,(0.3388321814322324-0.09352333775491474j),-2555006428.571428
16,(0.41944924199133043-0.008462147470881984j),-2555006428.571428
17,(0.6073337166670821+0.1314531182439017j),-2555006428.571428
18,(0.6267127645830118+0.07252126813620194j),-2555006428.571428
19,(0.5504889235809545-0.16344743237214363j),-2555006428.571428
20,(0.4951637382754877-0.1930018694649548j),-2555006428.571428
21,(0.4261291513370476+0.04020148131578177j),-2555006428.571428
22,(0.4253885521575661+0.15055499952933496j),-2555006428.571428
23,(0.5957522613182767+0.015012874818866167j),-2555006428.571428
24,(0.7086239861085282-0.10295109509468285j),-2555006428.571428
25,(0.5307521364849335-0.09796692262456606j),-2555006428.571428
26,(0.32657720729902745-0.06473184784516013j),-2555006428.571428
27,(0.4261347447960116+0.013633127086641689j),-2555006428.571428
28,(0.6338851491057289+0.11779436831833585j),-2555006428.571428
29,(0.6386592225024958+0.048429568717916927j),-2555006428.571428
30,(0.5265201728374941-0.16959658897210864j),-2555006428.571428
31,(0.46723176713731096-0.1831208884387957j),-2555006428.571428
32,(0.434148117630246+0.05843774685314062j),-2555006428.571428
33,(0.455566876219391+0.1626667284733299j),-2555006428.571428
34,(0.6057374799631093+0.00029487560835851254j),-2555006428.571428
35,(0.6925414084003532-0.1319250244491993j),-2555006428.571428
36,(0.512844960836673-0.09951964450807069j),-2555006428.571428
37,(0.32018574155064794-0.033967895911018335j),-2555006428.571428
38,(0.4362977546699584+0.03302298980174625j),-2555006428.571428
39,(0.6580480856582948+0.1005469697531949j),-2555006428.571428
40,(0.6467146575091693+0.022286838553107154j),-2555006428.571428
41,(0.5002103399206352-0.17193967139589042j),-2555006428.571428
42,(0.44201349184281613-0.1676117247383358j),-2555006428.571428
43,(0.44644392206513805+0.07464075447413131j),-2555006428.571428
44,(0.4862380623613502+0.16925769611310643j),-2555006428.571428
45,(0.6129786879575894-0.015540821966136946j),-2555006428.571428
46,(0.6727583265715574-0.1585413021726467j),-2555006428.571428
47,(0.4938006887538229-0.09806516532452232j),-2555006428.571428
48,(0.31858028679639594-0.0007394748938929571j),-2555006428.571428
49,(0.4517293313715105+0.04954853471840329j),-2555006428.571428
50,(0.6781826968160859+0.07756960895783428j),-2555006428.571428
51,(0.6488324952896893-0.0027953394655792583j),-2555006428.571428
52,(0.4752719744271424-0.1696768984761836j),-2555006428.571428
53,(0.4193551199313013-0.14986582432080264j),-2555006428.571428
54,(0.46062202406511726+0.09014021305180911j),-2555006428.571428
55,(0.5191173099259575+0.17137431837894462j),-2555006428.571428
56,(0.6173097112583238-0.0348412768411493j),-2555006428.571428
57,(0.6468173684540012-0.18124387797164027j),-2555006428.571428
58,(0.47632174763128976-0.09089553934620524j),-2555006428.571428
59,(0.3238162769759054+0.030945767495812945j),-2555006428.571428
60,(0.4680292174909912+0.06218064592423443j),-2555006428.571428
61,(0.6949288060756103+0.05305545186376162j),-2555006428.571428
62,(0.647589352411114-0.02870761236666132j),-2555006428.571428
63,(0.44909126425788015-0.16370148777689975j),-2555006428.571428
64,(0.4003425926185979-0.12731740505204073j),-2555006428.571428
65,(0.4788501932635195+0.10285340498113628j),-2555006428.571428
66,(0.5512235921755052+0.1673215827560269j),-2555006428.571428
67,(0.6176706992519383-0.054636807336508324j),-2555006428.571428
68,(0.6176279753070427-0.19955749695360422j),-2555006428.571428
69,(0.46009761105186403-0.07991727060419218j),-2555006428.571428
70,(0.3350583608350975+0.06169635331860681j),-2555006428.571428
71,(0.48592868774898135+0.07025256006601927j),-2555006428.571428
72,(0.7067921077468354+0.0269562105855665j),-2555006428.571428
73,(0.6434194106343427-0.05366007320581074j),-2555006428.571428
74,(0.42274614837369306-0.15505285517523906j),-2555006428.571428
75,(0.38434185793075937-0.09999132543726537j),-2555006428.571428
76,(0.5022484949796502+0.11290684561538626j),-2555006428.571428
77,(0.5814792018217783+0.15514238524592963j),-2555006428.571428
78,(0.6116689122540242-0.07306367654751507j),-2555006428.571428
79,(0.5882362698927184-0.2110062569909403j),-2555006428.571428
80,(0.4468997530772487-0.06881344923958516j),-2555006428.571428
81,(0.34803463058910167+0.09104808633353918j),-2555006428.571428
82,(0.5071203899102692+0.07742861368113554j),-2555006428.571428
83,(0.7161167648617457-0.004335135746469602j),-2555006428.571428
84,(0.6310753304041342-0.07758350659213005j),-2555006428.571428
85,(0.3987376693907223-0.13825308853139456j),-2555006428.571428
86,(0.3763344642697889-0.07265744213403434j),-2555006428.571428
87,(0.5247397354824661+0.11709700690565379j),-2555006428.571428
88,(0.6085571046165766+0.14132484141073598j),-2555006428.571428
89,(0.6052492211804066-0.091317674565237j),-2555006428.571428
90,(0.5553803482971514-0.2201140010009334j),-2555006428.571428
91,(0.43432517603105325-0.05214515202017509j),-2555006428.571428
92,(0.3691487019735062+0.11855094679133799j),-2555006428.571428
93,(0.5284188612631965+0.07715501277364094j),-2555006428.571428
94,(0.7178220572926165-0.035303985990919634j),-2555006428.571428
95,(0.6169171735235361-0.09738629949507768j),-2555006428.571428
96,(0.37768390535087215-0.11958090657052518j),-2555006428.571428
97,(0.3714327229073065-0.04395532407767706j),-2555006428.571428
98,(0.5493917382204359+0.11881344499631295j),-2555006428.571428
99,(0.6337122599509186+0.12167170206304471j),-2555006428.571428
100,(0.5935245856247521-0.10888446527946007j),-2555006428.571428
101,(0.5216929267024998-0.2220051861576226j),-2555006428.571428
102,(0.4263252077724164-0.0338398446586043j),-2555006428.571428
103,(0.39362432838056055+0.14186171364324213j),-2555006428.571428
104,(0.5495368869247277+0.07350407899620838j),-2555006428.571428
105,(0.7146604572127461-0.06711497647542328j),-2555006428.571428
106,(0.5988923984388071-0.11383607096211769j),-2555006428.571428
107,(0.3600949680298954-0.09708106802665288j),-2555006428.571428
108,(0.3715933166227103-0.01524412287405325j),-2555006428.571428
109,(0.5746993913969335+0.11632526692531568j),-2555006428.571428
110,(0.6549940060800504+0.0978885349714773j),-2555006428.571428
111,(0.5783005098609414-0.12428351737667367j),-2555006428.571428
112,(0.48807396841677503-0.21843128440604537j),-2555006428.571428
113,(0.42177407956323265-0.013437233106414004j),-2555006428.571428
114,(0.4226817130430341+0.16084071256258042j),-2555006428.571428
115,(0.5690020082142127+0.06476898801283307j),-2555006428.571428
116,(0.7055359078678582-0.09730929646176226j),-2555006428.571428
117,(0.5793862028026915-0.12634327057658948j),-2555006428.571428
118,(0.34593601577044847-0.07264821897378945j),-2555006428.571428
119,(0.3758566734788856+0.013552569679110829j),-2555006428.571428
120,(0.6010610414281474+0.11012598968720537j),-2555006428.571428
121,(0.6721112435460218+0.06916584300435814j),-2555006428.571428
122,(0.5580064963405178-0.13658095692576244j),-2555006428.571428
123,(0.45678359194644597-0.20742544324893425j),-2555006428.571428
124,(0.4224347405662764+0.005930379369310546j),-2555006428.571428
125,(0.4524900267310964+0.1746432754617343j),-2555006428.571428
126,(0.5872661832470365+0.054165957110524854j),-2555006428.571428
127,(0.692660724656601-0.127343737132923j),-2555006428.571428
128,(0.5562383743414522-0.1354274420590528j),-2555006428.571428
129,(0.33590499424026726-0.043943787669238975j),-2555006428.571428
130,(0.3868364854825185+0.04039480052538363j),-2555006428.571428
131,(0.6255010903368614+0.09781006177678216j),-2555006428.571428
132,(0.6830418972839323+0.03943842965168042j),-2555006428.571428
133,(0.5367341166507926-0.14507276884606893j),-2555006428.571428
134,(0.4273269422255274-0.19249766893820972j),-2555006428.571428
135,(0.42629164667237945+0.026084305582682425j),-2555006428.571428
136,(0.48518670688002924+0.18354746247654818j),-2555006428.571428
137,(0.6031186103374871+0.03941107604448469j),-2555006428.571428
138,(0.6742957677510669-0.1550602081121957j),-2555006428.571428
139,(0.5318755911576839-0.13950176141416523j),-2555006428.571428
140,(0.331131526938237-0.01345548688324432j),-2555006428.571428
141,(0.4024004645027665+0.06435263792127731j),-2555006428.571428
142,(0.6478235063231129+0.08108442720545786j),-2555006428.571428
143,(0.6883218528821293+0.008420206869487341j),-2555006428.571428
144,(0.5138559285325006-0.14917180443781913j),-2555006428.571428
145,(0.40146488157507776-0.17346627889623004j),-2555006428.571428
146,(0.43293366181505893+0.045292923473577586j),-2555006428.571428
147,(0.5195789209949304+0.1884055804007516j),-2555006428.571428
148,(0.6172116995588484+0.020282286850330355j),-2555006428.571428
149,(0.6492350108483361-0.18037812203105627j),-2555006428.571428
150,(0.5072766470561357-0.1363328235875236j),-2555006428.571428
151,(0.3340477186279388+0.01689161339182247j),-2555006428.571428
152,(0.420015721360554+0.08286131466879555j),-2555006428.571428
153,(0.6661175172555893+0.06311471021819373j),-2555006428.571428
154,(0.6913037203887783-0.022889904611263483j),-2555006428.571428
155,(0.48854839372677555-0.15228218302572855j),-2555006428.571428
156,(0.3768371561556807-0.14750840131320028j),-2555006428.571428
157,(0.44711726727765816+0.06428938636172067j),-2555006428.571428
158,(0.553842448934953+0.18363125168808137j),-2555006428.571428
159,(0.6243357452360851+0.0006138067573086514j),-2555006428.571428
